Date_ymd, Time_Absolute_hms, Time_Relative_hms, Time_Relative_s, Time_Lag_s, Duration_s, Observation_Name, Log_File_Name, Actor, Behavior, Receiver, Modifier_1, Modifier_2, Modifier_3, Modifier_4, Modifier_5, Modifier_6, Other_Modifiers, Event_Type, Observer_ID, Notes, Coding_Scheme,,
6/26/2021, 06:46:32, 00:33:30,2010.461,0,0," ""AdLib"""," ""LogAdLibitum 20210626_061302.csv"""," ""Female"""," ""GFN"""," ""Female"""," ""Far from nest""",,,,,,, State stop,3639," """"", barn_swallow_prov,,
6/26/2021, 06:46:32, 00:33:30,2010.461,2.6,131.711," ""AdLib"""," ""LogAdLibitum 20210626_061302.csv"""," ""Female"""," ""GFN"""," ""Female"""," ""Far from nest""",,,,,,, State start,3639," """"", barn_swallow_prov,,
6/26/2021, 06:48:44, 00:35:42,2142.172,0,0," ""AdLib"""," ""LogAdLibitum 20210626_061302.csv"""," ""Female"""," ""GFN"""," ""Female"""," ""Far from nest""",,,,,,, State stop,3639," """"", barn_swallow_prov,,
6/26/2021, 06:48:44, 00:35:42,2142.172,1.682,47.756," ""AdLib"""," ""LogAdLibitum 20210626_061302.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Feeding""",,,,,,, State start,3639," """"", barn_swallow_prov,,
6/26/2021, 06:49:11, 00:36:09,2169.445,14.658,14.658," ""AdLib"""," ""LogAdLibitum 20210626_061302.csv"""," """""," """"",,,,,,,,, Notes,3639," ""The female was feeding not the male""", barn_swallow_prov,,
6/26/2021, 06:49:32, 00:36:29,2189.928,0,0," ""AdLib"""," ""LogAdLibitum 20210626_061302.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Feeding""",,,,,,, State stop,3639," """"", barn_swallow_prov,,
6/26/2021, 06:49:32, 00:36:29,2189.928,3.849,17.366," ""AdLib"""," ""LogAdLibitum 20210626_061302.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Brooding""",,,,,,, State start,3639," """"", barn_swallow_prov,,
6/26/2021, 06:49:37, 00:36:34,2194.593,0,0," ""AdLib"""," ""LogAdLibitum 20210626_061302.csv"""," ""Male"""," ""GFN"""," ""Male"""," ""Far from nest""",,,,,,, State stop,3639," """"", barn_swallow_prov,,
6/26/2021, 06:49:37, 00:36:34,2194.593,9.908,19.183," ""AdLib"""," ""LogAdLibitum 20210626_061302.csv"""," ""Male"""," ""AN"""," ""Male"""," ""Feeding""",,,,,,, State start,3639," """"", barn_swallow_prov,,
6/26/2021, 06:49:49, 00:36:47,2207.293,0,0," ""AdLib"""," ""LogAdLibitum 20210626_061302.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Brooding""",,,,,,, State stop,3639," """"", barn_swallow_prov,,
6/26/2021, 06:49:49, 00:36:47,2207.293,2.824,3.707," ""AdLib"""," ""LogAdLibitum 20210626_061302.csv"""," ""Female"""," ""GFN"""," ""Female"""," ""Near nest""",,,,,,, State start,3639," """"", barn_swallow_prov,,
6/26/2021, 06:49:53, 00:36:51,2211.001,0,0," ""AdLib"""," ""LogAdLibitum 20210626_061302.csv"""," ""Female"""," ""GFN"""," ""Female"""," ""Near nest""",,,,,,, State stop,3639," """"", barn_swallow_prov,,
6/26/2021, 06:49:53, 00:36:51,2211.001,1.942,187.657," ""AdLib"""," ""LogAdLibitum 20210626_061302.csv"""," ""Female"""," ""GFN"""," ""Female"""," ""Far from nest""",,,,,,, State start,3639," """"", barn_swallow_prov,,
6/26/2021, 06:49:56, 00:36:53,2213.776,0,0," ""AdLib"""," ""LogAdLibitum 20210626_061302.csv"""," ""Male"""," ""AN"""," ""Male"""," ""Feeding""",,,,,,, State stop,3639," """"", barn_swallow_prov,,
6/26/2021, 06:49:56, 00:36:53,2213.776,2.125,153.767," ""AdLib"""," ""LogAdLibitum 20210626_061302.csv"""," ""Male"""," ""GFN"""," ""Male"""," ""Far from nest""",,,,,,, State start,3639," """"", barn_swallow_prov,,
6/26/2021, 06:52:30, 00:39:27,2367.543,0,0," ""AdLib"""," ""LogAdLibitum 20210626_061302.csv"""," ""Male"""," ""GFN"""," ""Male"""," ""Far from nest""",,,,,,, State stop,3639," """"", barn_swallow_prov,,
6/26/2021, 06:52:30, 00:39:27,2367.543,1.499,22.516," ""AdLib"""," ""LogAdLibitum 20210626_061302.csv"""," ""Male"""," ""AN"""," ""Male"""," ""Feeding""",,,,,,, State start,3639," """"", barn_swallow_prov,,
6/26/2021, 06:52:52, 00:39:50,2390.059,0,0," ""AdLib"""," ""LogAdLibitum 20210626_061302.csv"""," ""Male"""," ""AN"""," ""Male"""," ""Feeding""",,,,,,, State stop,3639," """"", barn_swallow_prov,,
6/26/2021, 06:52:52, 00:39:50,2390.059,7.681,99.319," ""AdLib"""," ""LogAdLibitum 20210626_061302.csv"""," ""Male"""," ""GFN"""," ""Male"""," ""Far from nest""",,,,,,, State start,3639," """"", barn_swallow_prov,,
6/26/2021, 06:53:01, 00:39:58,2398.657,0,0," ""AdLib"""," ""LogAdLibitum 20210626_061302.csv"""," ""Female"""," ""GFN"""," ""Female"""," ""Far from nest""",,,,,,, State stop,3639," """"", barn_swallow_prov,,
6/26/2021, 06:53:01, 00:39:58,2398.657,1.858,2.6," ""AdLib"""," ""LogAdLibitum 20210626_061302.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Feeding""",,,,,,, State start,3639," """"", barn_swallow_prov,,
6/26/2021, 06:53:03, 00:40:01,2401.257,0,0," ""AdLib"""," ""LogAdLibitum 20210626_061302.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Feeding""",,,,,,, State stop,3639," """"", barn_swallow_prov,,
6/26/2021, 06:53:03, 00:40:01,2401.257,1.558,90.562," ""AdLib"""," ""LogAdLibitum 20210626_061302.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Brooding""",,,,,,, State start,3639," """"", barn_swallow_prov,,
6/26/2021, 06:54:31, 00:41:29,2489.378,0,0," ""AdLib"""," ""LogAdLibitum 20210626_061302.csv"""," ""Male"""," ""GFN"""," ""Male"""," ""Far from nest""",,,,,,, State stop,3639," """"", barn_swallow_prov,,
6/26/2021, 06:54:31, 00:41:29,2489.378,1.783,24.325," ""AdLib"""," ""LogAdLibitum 20210626_061302.csv"""," ""Male"""," ""AN"""," ""Male"""," ""Feeding""",,,,,,, State start,3639," """"", barn_swallow_prov,,
6/26/2021, 06:54:34, 00:41:31,2491.819,0,0," ""AdLib"""," ""LogAdLibitum 20210626_061302.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Brooding""",,,,,,, State stop,3639," """"", barn_swallow_prov,,
6/26/2021, 06:54:34, 00:41:31,2491.819,2.725,3.725," ""AdLib"""," ""LogAdLibitum 20210626_061302.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Perching""",,,,,,, State start,3639," """"", barn_swallow_prov,,
6/26/2021, 06:54:38, 00:41:35,2495.545,0,0," ""AdLib"""," ""LogAdLibitum 20210626_061302.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Perching""",,,,,,, State stop,3639," """"", barn_swallow_prov,,
6/26/2021, 06:54:38, 00:41:35,2495.545,3.416,21.614," ""AdLib"""," ""LogAdLibitum 20210626_061302.csv"""," ""Female"""," ""GFN"""," ""Female"""," ""Far from nest""",,,,,,, State start,3639," """"", barn_swallow_prov,,
6/26/2021, 06:54:44, 00:41:42,2502.253,7.708,7.708," ""AdLib"""," ""LogAdLibitum 20210626_061302.csv"""," """""," """"",,,,,,,,, Notes,3639," ""Male has growth on his face""", barn_swallow_prov,,
