,female_band,male_band,nest,site,obs_date,observer,obs_method,nestling_number,nestling_age,blind_camera_distance,obs_start_time,obs_end_time,trial_temp,min_temp,max_temp,trial_humidity,wind_speed,wind_gust,cloud_cover,notes,total_visits,female_visits,male_visits,total_feeding_visits,female_feeding_visits,male_feeding_visits,total_an_duration,female_an_duration,male_an_duration,total_brooding_duration,female_brooding_duration,male_brooding_duration
69,2850-57617,2850-57624,4,urbanfarm,7/6/2021,APP,camera,3,8,0.89,6:27,7:27,18.7,15.7,33.3,59.5,0,0,,,16.99872982,10.99917812,5.9995517,15.99880453,9.999252834,5.9995517,2032.908097,1353.558859,679.3492375,784.1624056,681.8400514,102.3223542
70,2850-57617,2850-57624,4,urbanfarm,7/11/2021,SAM,camera,3,13,0.89,7:44,8:44,16.5,15.1,34.8,56.3,0,0,clear,,25.97819996,19.98323074,5.994969222,24.97903842,18.9840692,5.994969222,116.3803375,104.8090477,11.57128976,0,0,0
71,2850-57854,2850-57602,18,cooks,7/2/2021,ZML,person,4,4,6.71,6:30,7:30,17.4,16.7,26.9,75.1,0,0,mostly,,16.98918827,9.993640158,6.995548111,8.994276143,2.998092048,5.996184095,3418.736354,2510.906087,907.8302669,3002.615169,2302.477729,700.1374403
72,2850-57854,2850-57602,18,cooks,7/6/2021,ZML,person,4,8,6.1,6:15,7:15,20.8,18.5,28.6,61.4,0,0,,,34.82151074,23.87760736,9.949003068,17.90820552,13.9286043,3.979601227,2504.922186,2013.790645,436.7224336,1103.661813,1049.252706,0
73,2850-57854,2850-57602,18,cooks,7/10/2021,MJA,person,4,13,6.86,6:35,7:35,21.8,21.7,36.7,52.9,0,0,mostly,,25.98797334,8.995836927,15.99259898,25.98797334,9.995374363,14.99306154,717.4229926,273.9692131,424.2046875,0,0,0
74,2850-57722,2850-57724,46,vanloon,7/5/2021,ZML,person,5,4,3.05,6:34,7:34,16,16,31.2,72.3,0,0,clear,"habituation start at 6:19, 7:06 change female to unknown, 7:09 change female to unknown, 7:12 owner outside barn, 7:24-7:25 landowner in barn",14.97443531,7.986365499,3.99318275,6.988069812,2.994887062,3.99318275,3166.140694,2444.498698,582.5903887,2744.464589,2340.282618,265.1303636
75,2850-57722,2850-57724,46,vanloon,7/10/2021,ZML,person,5,9,3.05,7:12,8:12,18.2,18.1,35.9,63.2,0,0,partly,"habituation start 6:55, 7:10-7:17 landowner in barn (birds unphased by 7:12), 7:38 erase GFN in between ""others"", 7:57  unknown is likely male",30.15109888,12.06043955,16.08058607,26.13095236,10.05036629,15.07554944,1621.665798,1434.31491,178.0553044,190.3026807,190.3026807,0
76,2850-57722,2850-57724,46,vanloon,7/13/2021,ZML,person,5,12,3.05,6:30,7:30,19.3,5.4,36,54.2,0,0,partly,"Habituation start 6:18, 6:46 female GFN before male at nest perching ",47.98155376,25.99000829,12.99500414,44.98270665,25.99000829,10.99577274,550.9941734,369.7358571,143.8606936,0,0,0
77,2850-57559,UNK,98,schaaps,7/6/2021,APP,camera,2,3,0.41,6:40,7:40,19.3,17.4,27.2,58.2,0,0,,camera start at 5:20,8.996708704,4.998171502,3.998537202,5.997805803,1.999268601,3.998537202,3087.146619,2553.853715,533.2929037,2706.195983,2353.013189,353.182794
78,2850-57559,UNK,98,schaaps,7/11/2021,APP,camera,2,8,0.41,7:28,8:28,17.4,17.1,29.3,52.4,0,0,clear,camera start at 7:15,17.96321035,6.985692913,10.97751743,12.9734297,4.989780652,7.983649043,1731.699383,1289.043966,442.6554171,772.8272069,772.8272069,0
79,2850-57559,UNK,98,schaaps,7/16/2021,APP,camera,2,13,0.41,6:21,7:21,17,15.2,28.2,45.9,0,0,partly,camera start at 4:45,13.03989847,4.012276451,9.027622016,11.03376024,2.006138226,9.027622016,190.0023544,46.38091271,143.6214417,0,0,0
80,2850-57709,2850-57852,2,hoops,7/7/2021,ZML,person,4,3,4.88,5:55,6:55,16.6,16.3,27.8,74.4,0,0,clear,,30.99705528,15.99848014,14.99857514,15.99848014,2.999715027,12.99876512,NA,NA,506.3528965,NA,NA,241.6120469
